word	len	pts	n	nCur	fieldRate	myRate	myRateCur	strongRate	topQRate	reachClass	share_freeCur	share_dropTerminalCur	share_cellmateCur	hookStem	cellmateOf	observedHost	family	qCur	gainPerGameCur	gainPerGameAll	dead	everAccepted
ELAIN	5	800	377	133	0.011936	0.005305	0.0075188	0.017857	0.0097087	free	0.52632	0	0.075188			LAIN	LAIN	0.39327	14.326	13.918	False	True
STERANE	7	1800	172	51	0.011628	0.011628	0	0.055556	0.027778	free	0.62745	0	0.098039	RAN		RAN	RAN	0.44619	14.297	15.472	False	True
IRADE	5	800	366	119	0.016393	0.0054645	0.0084034	0.033333	0.054945	free	0.57983	0.016807	0.07563			RADE	RADE	0.43773	14.266	12.237	False	True
OSTEAL	6	1400	175	53	0.0057143	0	0	0	0.022222	free	0.73585	0	0	TEA		STEAL	TEA	0.54679	14.161	15.078	False	True
ANEAR	5	800	343	106	0.0072886	0	0	0.036364	0.02439	free	0.64151	0	0			NEAR	NEAR	0.47665	14.108	13.64	False	True
PEARST	6	1400	133	46	0.022556	0	0	0.076923	0.12121	free	0.84783	0	0.043478	PEARS	PATERS,TAPERS,PASTER	PEARS	PEARS	0.62762	14.108	13.411	False	True
SITARS	6	1400	197	50	0.050761	0.06599	0.06	0.085106	0.067797	free	0.86	0	0	SIT		TARS	SIT	0.63656	14.087	16.7	False	True
NEATH	5	800	311	113	0.048232	0.0096463	0.0088496	0.078431	0.088608	free	0.61062	0	0.017699	EAT		NEAT	EAT	0.45428	14.055	12.315	False	True
TORANS	6	1400	174	52	0.060345	0.068966	0.11538	0.088235	0.046512	free	0.90385	0	0	TOR		TOR	TOR	0.66826	14.049	15.794	False	True
ARSON	5	800	325	107	0.013846	0.0092308	0.0093458	0.016129	0.034884	free	0.64486	0	0.0093458	SON		SON	SON	0.4791	14.035	12.329	False	True
RESOD	5	800	383	127	0.045692	0.070496	0.03937	0.014706	0	free	0.58268	0	0.30709	RES	DORES	RES	RES	0.43483	14.024	13.305	False	True
ARETTS	6	1400	260	59	0.048077	0.015385	0.067797	0.12281	0.13953	free	0.74576	0	0.084746	RET	TATERS,STATER	RET	RET	0.55368	14.008	22.933	False	True
SANIES	6	1400	204	62	0.053922	0.088235	0.080645	0.051282	0.037037	free	0.72581	0	0	SAN		SAN	SAN	0.53953	13.903	14.036	False	True
TORSEL	6	1400	149	54	0.053691	0.04698	0.037037	0.13158	0.17391	free	0.75926	0	0	TORSE		TORSE	TORSE	0.56372	13.898	11.805	False	True
NORITE	6	1400	179	53	0.0083799	0.01676	0.037736	0	0	free	0.77358	0	0	RIT		RITE	RIT	0.57407	13.891	15.183	False	True
EARTHS	6	1400	154	51	0.087948	0.032468	0.039216	0.083333	0.14894	free	0.80392	0	0		HATERS	EAR	EAR	0.59601	13.876	11.48	False	True
SILENT	6	1400	149	59	0.033557	0.013423	0	0.12903	0.11905	free	0.64407	0	0			SILE	SILE	0.48042	13.851	9.554	False	True
SOLEI	5	800	255	88	0.0019608	0	0	0	0.014493	free	0.76136	0	0	SOL		SOLE	SOL	0.56362	13.85	12.075	False	True
TELOS	5	800	297	106	0.006734	0.003367	0.009434	0	0.013699	free	0.64151	0	0.14151	LOS	TOLES	LOS	LOS	0.47705	13.841	12.037	False	True
TONITE	6	1400	136	45	0.029412	0.022059	0.044444	0	0.058824	free	0.91111	0	0	TON		TON	TON	0.67352	13.833	13.404	False	True
RESIANT	7	1800	135	41	0.011111	0	0	0.030303	0	free	0.7561	0	0	RES	RETAINS	RES	RES	0.53696	13.832	14.287	False	True
ARTSIE	6	1400	341	105	0.0043988	0	0	0.016667	0.011236	free	0.35238	0	0			ARTS	ARTS	0.26951	13.828	11.417	False	True
TASAR	5	800	272	80	0.0018382	0	0	0	0.012048	free	0.8375	0	0	TAS		TAS	TAS	0.61887	13.825	14.855	False	True
RETAG	5	800	255	93	0.021569	0.019608	0.010753	0	0.049383	free	0.73118	0	0.17204	RET	GATER	RET	RET	0.54221	13.801	11.388	False	True
TENAIL	6	1400	166	58	0.066265	0.054217	0.051724	0.27586	0.13725	free	0.72414	0	0.017241			NAIL	NAIL	0.53826	13.79	11.758	False	True
DORISE	6	1400	131	48	0.01145	0.0076336	0	0	0	free	0.79167	0	0	DOR		DOR	DOR	0.58715	13.772	12.022	False	True
RATAS	5	800	326	88	0.095092	0.10123	0.10227	0.048387	0.11905	free	0.89773	0	0.022727	RAT		RAT	RAT	0.66264	13.77	16.357	False	True
SAIREST	7	1800	138	40	0.043478	0.057971	0.125	0.12	0.083333	free	0.95	0	0	SAI		AIREST	SAI	0.67256	13.761	16.606	False	True
STATOR	6	1400	136	43	0.0036765	0	0	0.045455	0	free	0.88372	0	0	STAT		STAT	STAT	0.65371	13.736	14.205	False	True
ENDEAR	6	1400	110	43	0.022727	0.0090909	0	0.05	0.041667	free	0.88372	0	0			END	END	0.65371	13.736	10.404	False	True
EARTH	5	800	349	101	0.07604	0.022923	0.049505	0.1	0.14815	free	0.72277	0	0.069307		HATER	EAR	EAR	0.53581	13.715	14.006	False	True
MANET	5	800	257	82	0.048638	0.035019	0.02439	0.025	0.11429	free	0.84146	0	0.012195	MANE		MANE	MANE	0.62178	13.678	13.337	False	True
RANIDS	6	1400	120	48	0.033333	0.016667	0.020833	0.052632	0	free	0.8125	0	0	RAN		RAN	RAN	0.60221	13.637	11.169	False	True
IDENTS	6	1400	179	57	0.0083799	0	0	0.028571	0.052632	free	0.64912	0.017544	0			DENTS	DENTS	0.48745	13.577	11.98	False	True
ONSET	5	800	583	187	0.012007	0.0068611	0.0053476	0.019608	0.021429	free	0.34759	0	0.28342		TONES,STONE	SET	SET	0.26417	13.515	13.366	False	True
AREAL	5	800	350	104	0.01	0	0	0.016393	0.033708	free	0.625	0	0			REAL	REAL	0.46467	13.494	14.804	False	True
SENSEI	6	1400	126	51	0.0039683	0	0	0	0	free	0.72549	0	0			SEN	SEN	0.5393	13.44	10.484	False	True
