word	times	strengthWeighted	inLosses	len	pts	present	playerFound	oppFound	pointsTotal	strengthWeightedPoints	playerFindRate	oppFindRate	excessPoints	anagramKey	anagramDictSize	branchStem
STERES	47	23.6804	32	6	1400	240	76	71	65800	33152.6	0.316667	0.295833	-7000	EERSST	6	STERE
SIRED	90	41.381	46	5	800	466	147	137	72000	33104.8	0.315451	0.293991	-8000	DEIRS	5	SIRE
TAINS	87	41.3318	39	5	800	435	215	203	69600	33065.4	0.494253	0.466667	-9600	AINST	8	TAIN
RITE	195	82.594	85	4	400	1183	667	550	78000	33037.6	0.563821	0.46492	-46800	EIRT	4	RIT
CARETS	48	23.5835	25	6	1400	220	119	119	67200	33017	0.540909	0.540909	0	ACERST	9	CARET
TREATS	47	23.553	26	6	1400	276	94	88	65800	32974.3	0.34058	0.318841	-8400	AERSTT	7	TREAT
REARS	92	41.1832	39	5	800	385	158	169	73600	32946.5	0.41039	0.438961	8800	AERRS	4	REAR
LASED	86	41.1277	49	5	800	294	89	129	68800	32902.1	0.302721	0.438776	32000	ADELS	6	LASE
RILES	89	41.0218	53	5	800	352	150	175	71200	32817.5	0.426136	0.497159	20000	EILRS	6	RILE
ROATES	42	23.4298	29	6	1400	283	141	85	58800	32801.7	0.498233	0.300353	-78400	AEORST	4	ROATE
TINED	86	40.9757	43	5	800	363	69	119	68800	32780.6	0.190083	0.327824	40000	DEINT	3	TINE
TEARERS	33	18.1603	24	7	1800	55	0	33	59400	32688.5	0	0.6	59400	AEERRST	3	TEARER
TORE	182	81.7162	74	4	400	1110	693	593	72800	32686.5	0.624324	0.534234	-40000	EORT	2	TOR
REDATE	41	23.3126	35	6	1400	143	15	48	57400	32637.7	0.104895	0.335664	46200	ADEERT	3	DATE
ALINES	49	23.284	28	6	1400	206	88	92	68600	32597.6	0.427184	0.446602	5600	AEILNS	6	ALINE
TASES	94	40.644	44	5	800	377	185	191	75200	32515.2	0.490716	0.506631	4800	AESST	6	TASE
ENTER	82	40.6049	45	5	800	453	210	187	65600	32483.9	0.463576	0.412804	-18400	EENRT	4	
TASTER	55	23.1637	29	6	1400	293	179	166	77000	32429.2	0.610922	0.566553	-18200	AERSTT	7	TASTE
LANES	89	40.5197	42	5	800	427	210	211	71200	32415.7	0.491803	0.494145	800	AELNS	5	LANE
STALES	51	23.1489	26	6	1400	191	99	108	71400	32408.5	0.518325	0.565445	12600	AELSST	7	STALE
STEARE	49	23.1077	23	6	1400	372	266	192	68600	32350.7	0.715054	0.516129	-103600	AEERST	9	STEAR
EASER	85	40.4365	47	5	800	535	297	236	68000	32349.2	0.55514	0.441121	-48800	AEERS	4	EASE
TINS	178	80.855	87	4	400	923	297	291	71200	32342	0.321777	0.315276	-2400	INST	3	TIN
TRATS	85	40.2942	42	5	800	411	67	97	68000	32235.4	0.163017	0.23601	24000	ARSTT	3	TRAT
TREAT	79	40.2366	49	5	800	505	153	135	63200	32189.2	0.30297	0.267327	-14400	AERTT	4	EAT
CRATES	46	22.9855	29	6	1400	184	89	97	64400	32179.7	0.483696	0.527174	11200	ACERST	9	CRATE
MATES	87	40.1228	44	5	800	370	209	236	69600	32098.2	0.564865	0.637838	21600	AEMST	6	MATE
RELATE	46	22.8739	32	6	1400	195	56	75	64400	32023.5	0.287179	0.384615	26600	AEELRT	2	ELATE
NOTERS	50	22.8653	31	6	1400	238	148	141	70000	32011.4	0.621849	0.592437	-9800	ENORST	8	NOTER
