affix	opps	taken	forgone	rate	oppOpps	oppTaken	oppRate	p	q	excessForgone
-ET	1151	327	8.634e+05	0.2841	960	366	0.38125	1.1052e-06	2.7851e-05	1.1407e+05
RA-	943	168	8.51e+05	0.17815	738	200	0.271	2.4549e-06	5.7281e-05	94816
AR-	778	43	7.848e+05	0.05527	659	44	0.066768	0.18124	0.42446	9605.4
-IN	961	197	7.608e+05	0.20499	807	235	0.2912	1.3239e-05	0.00027526	81035
B-	2282	1249	7.594e+05	0.54733	1822	869	0.47695	1	1	-1.2183e+05
-H	2619	1120	7.364e+05	0.42764	2139	757	0.3539	1	1	-90509
-ON	802	41	7.2e+05	0.051122	674	73	0.10831	2.0718e-05	0.00040789	43496
F-	1858	899	7.162e+05	0.48385	1423	639	0.44905	0.97613	1	-46517
I-	1231	95	7.086e+05	0.077173	1012	97	0.09585	0.057829	0.20702	14493
TA-	912	211	7.03e+05	0.23136	771	184	0.23865	0.36255	0.65075	6477.7
-EL	759	116	6.502e+05	0.15283	620	114	0.18387	0.062017	0.2135	23583
R-	3167	2143	6.488e+05	0.67667	2306	1565	0.67866	0.43794	0.74328	4161.4
RO-	830	211	6.404e+05	0.25422	631	157	0.24881	0.59319	0.86109	-4668.2
L-	2607	1634	6.21e+05	0.62677	1711	1140	0.66628	0.004036	0.033021	67171
-LS	1338	719	6.144e+05	0.53737	1015	546	0.53793	0.4892	0.77827	694.19
U-	890	99	6.126e+05	0.11124	719	61	0.08484	0.96072	1	-17960
-AR	737	97	5.952e+05	0.13161	554	87	0.15704	0.097937	0.29381	17350
LA-	618	120	5.91e+05	0.19417	489	105	0.21472	0.19942	0.45192	14306
N-	1667	675	5.77e+05	0.40492	1107	480	0.4336	0.066696	0.22533	27980
-INE	430	50	5.588e+05	0.11628	392	97	0.24745	4.7532e-07	1.3612e-05	82585
-ETS	520	166	5.552e+05	0.31923	428	167	0.39019	0.011378	0.066373	57020
-DS	1281	649	5.55e+05	0.50664	1002	518	0.51697	0.31206	0.58165	11579
-NT	711	173	5.342e+05	0.24332	537	128	0.23836	0.58032	0.85746	-3346.7
-RE	1160	575	5.264e+05	0.49569	940	479	0.50957	0.26344	0.52521	13843
-LE	937	428	5.256e+05	0.45678	727	316	0.43466	0.81592	1	-20880
-ATE	383	48	5.126e+05	0.12533	384	111	0.28906	1.1149e-08	4.3899e-07	95196
OUT-	283	2	5.106e+05	0.0070671	227	29	0.12775	7.1851e-09	3.2333e-07	61960
-TA	674	75	5.084e+05	0.11128	543	66	0.12155	0.28893	0.55836	5856.5
SI-	703	168	5.082e+05	0.23898	504	98	0.19444	0.96717	1	-29515
AS-	454	30	5.028e+05	0.066079	370	40	0.10811	0.015686	0.082998	22393
-AN	573	10	5.01e+05	0.017452	510	63	0.12353	1.828e-12	1.4395e-10	54057
TE-	694	148	4.98e+05	0.21326	569	85	0.14938	0.9982	1	-40546
SO-	608	146	4.98e+05	0.24013	473	118	0.24947	0.36145	0.65075	5973.8
TO-	653	149	4.952e+05	0.22818	497	123	0.24748	0.22265	0.48038	11998
CO-	550	122	4.91e+05	0.22182	422	97	0.22986	0.38309	0.67795	4937.9
-OR	506	35	4.854e+05	0.06917	428	74	0.1729	4.3377e-07	1.3013e-05	54353
BE-	470	51	4.8e+05	0.10851	362	51	0.14088	0.079044	0.25407	17158
-IA	544	18	4.79e+05	0.033088	471	25	0.053079	0.057413	0.20702	9863.2
-ENS	346	39	4.75e+05	0.11272	305	86	0.28197	2.2385e-08	7.8348e-07	90583
-NED	461	160	4.402e+05	0.34707	385	178	0.46234	0.00032647	0.0043761	77251
W-	1128	498	4.322e+05	0.44149	821	346	0.42144	0.81115	1	-15468
-IC	453	3	4.262e+05	0.0066225	376	28	0.074468	1.4816e-07	4.667e-06	29119
-ONS	305	19	4.252e+05	0.062295	234	33	0.14103	0.0010756	0.011485	35822
LI-	499	72	4.162e+05	0.14429	387	48	0.12403	0.80894	1	-9752
-LES	463	199	4.116e+05	0.42981	338	158	0.46746	0.14485	0.37554	26829
H-	1915	1247	4.074e+05	0.65117	1331	830	0.62359	0.94632	1	-32720
-RED	434	168	4.06e+05	0.3871	344	165	0.47965	0.0047814	0.037189	60494
-NE	758	312	4.026e+05	0.41161	606	281	0.4637	0.026915	0.13044	34950
PA-	425	79	4.018e+05	0.18588	355	92	0.25915	0.0068861	0.047155	35185
-SER	492	209	4.006e+05	0.4248	387	173	0.44703	0.2546	0.52393	15429
NO-	413	64	3.992e+05	0.15496	316	61	0.19304	0.088255	0.2739	17369
-RES	510	236	3.992e+05	0.46275	415	225	0.54217	0.0081348	0.05452	58011
M-	1790	1145	3.916e+05	0.63966	1213	771	0.63561	0.58965	0.86109	-4609.6
LO-	493	109	3.83e+05	0.2211	393	101	0.257	0.10593	0.31186	17276
CA-	511	163	3.828e+05	0.31898	406	124	0.30542	0.67002	0.91919	-7381.3
-INS	288	41	3.766e+05	0.14236	226	65	0.28761	2.6744e-05	0.00047058	63445
-TE	1316	897	3.758e+05	0.68161	1063	716	0.67357	0.66186	0.91242	-8932.2
-TO	501	56	3.682e+05	0.11178	412	55	0.1335	0.15883	0.38819	8969.8
-LY	326	22	3.652e+05	0.067485	267	28	0.10487	0.051548	0.19563	14498
-TY	425	34	3.594e+05	0.08	337	46	0.1365	0.0057538	0.041192	21944
MA-	469	117	3.588e+05	0.24947	373	77	0.20643	0.92963	1	-20552
AN-	361	27	3.578e+05	0.074792	272	31	0.11397	0.045383	0.18446	14911
-SED	412	164	3.564e+05	0.39806	311	167	0.53698	0.00010283	0.0015425	81796
-RA	391	26	3.546e+05	0.066496	327	25	0.076453	0.3025	0.57402	3737.6
SP-	497	192	3.528e+05	0.38632	405	130	0.32099	0.97917	1	-36507
-ELS	278	46	3.52e+05	0.16547	229	56	0.24454	0.013542	0.07484	33148
-M	1123	379	3.51e+05	0.33749	906	294	0.3245	0.73159	0.96776	-6568.1
DI-	326	37	3.506e+05	0.1135	260	43	0.16538	0.034566	0.15492	19873
-HS	478	109	3.49e+05	0.22803	374	97	0.25936	0.14463	0.37554	13946
DO-	440	121	3.488e+05	0.275	343	87	0.25364	0.74898	0.97895	-9704
-TEN	278	35	3.462e+05	0.1259	215	65	0.30233	6.7943e-07	1.861e-05	69794
-LED	367	139	3.42e+05	0.37875	283	148	0.52297	0.00012066	0.0017277	78658
RES-	258	47	3.414e+05	0.18217	216	40	0.18519	0.46635	0.76181	1277
-NET	244	8	3.376e+05	0.032787	200	40	0.2	8.2344e-09	3.4584e-07	58324
-AE	343	4	3.368e+05	0.011662	278	16	0.057554	0.00063854	0.0073142	15603
LE-	452	119	3.356e+05	0.26327	317	67	0.21136	0.95103	1	-23311
MO-	398	75	3.306e+05	0.18844	312	75	0.24038	0.046208	0.18451	20652
MI-	342	64	3.298e+05	0.18713	258	55	0.21318	0.21416	0.47005	10084
AL-	325	4	3.292e+05	0.012308	270	17	0.062963	0.00042832	0.0053969	16868
