word	len	present	found	opp	pts	lc	beliefRaw	beliefWeighted	refN	refK	refRate	p	q	refForgone	foundStem	kind	reference
OLLIE	5	27	0	19.639	800	5	0.0215077	0.0223478	8	2	0.25	0.000423306	0.0243276	5400	LIE	branch miss	topQuartile
ADORE	5	54	0	39.9778	800	5	0.0112782	0.0113868	16	2	0.125	0.000738643	0.037327	5400	DORE	branch miss	topQuartile
EROSE	5	91	0	66.0761	800	5	0.00682789	0.00698849	27	2	0.0740741	0.000908737	0.0425028	5392.59	ROSE	branch miss	topQuartile
LUNAR	5	20	0	13.8338	800	5	0.0281204	0.030814	9	3	0.333333	0.000300729	0.0184917	5333.33	LUNA	branch miss	topQuartile
RELET	5	43	0	30.7808	800	5	0.0139888	0.014632	13	2	0.153846	0.000759139	0.0378602	5292.31	LET	branch miss	topQuartile
LAIRD	5	39	0	24.0435	800	5	0.0153285	0.0184928	6	1	0.166667	0.000816453	0.0390167	5200	LAIR	branch miss	topQuartile
DIRER	5	39	0	26.2149	800	5	0.0153285	0.0170434	6	1	0.166667	0.000816453	0.0390167	5200	DIRE	branch miss	topQuartile
SIGNA	5	29	0	18.3268	800	5	0.0201537	0.0238276	9	2	0.222222	0.000683613	0.0353589	5155.56	SIGN	branch miss	topQuartile
STOND	5	45	0	33.258	800	5	0.0134031	0.0135889	14	2	0.142857	0.000971392	0.0451929	5142.86	TON	branch miss	topQuartile
ALONG	5	16	0	10.2789	800	5	0.0341137	0.0401218	5	2	0.4	0.000282111	0.0177186	5120	LONG	branch miss	topQuartile
AGATE	5	19	0	13.6671	800	5	0.0294122	0.0311528	6	2	0.333333	0.000451093	0.0252641	5066.67	GATE	branch miss	topQuartile
HONOR	5	19	0	13.7867	800	5	0.0294122	0.030909	6	2	0.333333	0.000451093	0.0252641	5066.67	HON	branch miss	topQuartile
IRING	5	22	0	14.366	800	5	0.0258496	0.0297798	7	2	0.285714	0.000609794	0.0323007	5028.57	RING	branch miss	topQuartile
AGLET	5	28	0	20.6259	800	5	0.0208087	0.0213505	9	2	0.222222	0.000878931	0.0413286	4977.78	LET	branch miss	topQuartile
DONAS	5	31	0	22.1127	800	5	0.01896	0.0200056	10	2	0.2	0.000990352	0.0458324	4960	DON	branch miss	topQuartile
HEALD	5	18	0	12.4996	800	5	0.0308284	0.0337527	6	2	0.333333	0.000676639	0.0352053	4800	HEAL	branch miss	topQuartile
ENOW	4	43	0	36.1662	400	4	0.0217292	0.0196124	11	3	0.272727	1.12975e-06	0.000174279	4690.91	NOW	branch miss	topQuartile
NORMS	5	17	0	12.2711	800	5	0.032388	0.0343132	6	2	0.333333	0.00101496	0.0462411	4533.33	NOR	branch miss	topQuartile
WRING	5	14	0	8.86655	800	5	0.0381827	0.0455932	5	2	0.4	0.000783642	0.0378602	4480	RING	branch miss	topQuartile
FLANE	5	14	0	9.92449	800	5	0.0381827	0.0413674	5	2	0.4	0.000783642	0.0378602	4480	FLAN	branch miss	topQuartile
