affix	opps	taken	forgone	rate	oppOpps	oppTaken	oppRate	p	q	excessForgone
-HE	498	173	2.796e+05	0.34739	394	166	0.42132	0.011944	0.15515	31391
EL-	314	24	2.792e+05	0.076433	240	18	0.075	0.52518	1	-435.38
-ROS	208	19	2.782e+05	0.091346	181	21	0.11602	0.21208	0.64797	7570.6
SAL-	193	31	2.772e+05	0.16062	107	14	0.13084	0.75552	1	-9821.7
SER-	199	16	2.754e+05	0.080402	174	13	0.074713	0.5811	1	-1703.4
-NTS	272	95	2.754e+05	0.34926	254	101	0.39764	0.12577	0.49465	20143
SL-	363	107	2.726e+05	0.29477	221	78	0.35294	0.071375	0.38172	22293
SOR-	217	42	2.718e+05	0.19355	138	24	0.17391	0.67852	1	-6593.5
TEN-	201	25	2.716e+05	0.12438	150	23	0.15333	0.21738	0.65138	8970.3
REA-	212	39	2.694e+05	0.18396	191	32	0.16754	0.66717	1	-5491.9
REC-	183	22	2.694e+05	0.12022	94	17	0.18085	0.084757	0.40925	18469
-AGE	169	3	2.688e+05	0.017751	149	7	0.04698	0.06807	0.3735	7979.3
-SA	366	34	2.67e+05	0.092896	349	14	0.040115	0.99759	1	-15560
FE-	300	45	2.636e+05	0.15	235	31	0.13191	0.72397	1	-5566.6
-MAN	165	2	2.634e+05	0.012121	155	3	0.019355	0.30103	0.77773	1925.6
-K	1291	685	2.624e+05	0.5306	1097	552	0.50319	0.90917	1	-15227
