word	len	pts	n	nCur	fieldRate	myRate	myRateCur	strongRate	topQRate	reachClass	share_freeCur	share_dropTerminalCur	share_cellmateCur	hookStem	cellmateOf	observedHost	family	qCur	gainPerGameCur	gainPerGameAll	dead	everAccepted
RHINOS	6	1400	57	25	0.035088	0.017544	0	0	0.086957	free	0.72	0	0	HIN		HIN	HIN	0.53533	6.5398	4.6813	False	True
TORICS	6	1400	62	25	0.040323	0	0	0.10526	0.21429	free	0.72	0	0	TOR		TOR	TOR	0.53533	6.5398	4.9597	False	True
SENNAS	6	1400	71	25	0.014085	0	0	0	0	free	0.72	0	0			SEN	SEN	0.53533	6.5398	4.9802	False	True
OTTARS	6	1400	72	25	0	0	0	0	0	free	0.72	0	0	TAR		TAR	TAR	0.53533	6.5398	5.4298	False	False
TENSON	6	1400	103	24	0.014563	0.019417	0	0	0.043478	free	0.75	0	0	SON	SONNET,TONNES	TENS	SON	0.55702	6.5326	8.8888	False	True
ASLANT	6	1400	82	24	0	0	0	0	0	free	0.75	0	0			SLANT	SLANT	0.55702	6.5326	7.3585	True	False
PILEA	5	800	116	40	0.017241	0.0086207	0.025	0.047619	0.058824	free	0.825	0	0	PILE		PILE	PILE	0.6098	6.5318	6.1948	False	True
TENAILS	7	1800	57	26	0.087719	0.052632	0.038462	0.23077	0.19048	free	0.61538	0	0.038462			NAILS	NAILS	0.43825	6.5305	4.6494	False	True
CONIAS	6	1400	71	23	0.042254	0.070423	0	0	0	free	0.78261	0	0	CON		CON	CON	0.5806	6.5254	5.8862	False	True
ERGATE	6	1400	59	23	0	0	0	0	0	free	0.78261	0	0	GATE		GATE	GATE	0.5806	6.5254	4.8408	False	False
CHINSE	6	1400	62	23	0.016129	0	0	0.0625	0.047619	free	0.78261	0	0	HIN		CHINS	HIN	0.5806	6.5254	5.2959	False	True
SANTAL	6	1400	76	23	0.059211	0.052632	0	0.13333	0	free	0.78261	0	0	SAN		SANT	SAN	0.5806	6.5254	6.6129	False	True
NGATIS	6	1400	73	23	0	0	0	0	0	free	0.78261	0	0.043478	GAT		GAT	GAT	0.58046	6.5238	5.8788	True	False
WASTEL	6	1400	58	22	0.060345	0.017241	0	0.11111	0.21053	free	0.81818	0	0	WASTE		WASTE	WASTE	0.60632	6.5182	5.2439	False	True
PALEA	5	800	98	35	0.005102	0.010204	0.028571	0	0	free	0.94286	0	0	PALE		PALE	PALE	0.69532	6.5162	5.8557	False	True
METRO	5	800	206	74	0.029126	0	0	0.10345	0.096774	free	0.41892	0	0			MET	MET	0.31512	6.5114	5.4724	False	True
ENAMEL	6	1400	55	21	0.0090909	0	0	0	0	free	0.85714	0	0			NAME	NAME	0.63449	6.511	4.7197	False	True
PATOIS	6	1400	50	21	0	0	0	0	0	free	0.85714	0	0	PAT		PAT	PAT	0.63449	6.511	4.8203	True	False
STOTIN	6	1400	67	21	0.022388	0.044776	0	0	0	free	0.85714	0	0	TOT		TOT	TOT	0.63449	6.511	6.4112	False	True
